price,address,bds,ba,sqft,image
"$639,000","1658 Troy Ave, Brooklyn, NY 11234",2,3,"1,584","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$949,000","230 Jay St APT 8J, Brooklyn, NY 11201",2,2,900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$295,000","14461 Village Rd APT 28D, Jamaica, NY 11435",2,1,"1,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$669,000","99-72 66th Rd APT 1G, Rego Park, NY 11374",3,2,"1,400","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$525,000","750 Park Ave #8D, New York, NY 10021",Studio,1,500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$639,000","1640 Troy Ave, Brooklyn, NY 11234",2,3,"1,584",https://photos.zillowstatic.com/fp/214140c3ba0941b14eff98b449440fc1-p_e.jpg
"$600,000","3347 14th St APT 5D, Astoria, NY 11106",3,2,--,https://photos.zillowstatic.com/fp/dcbf54de791339c310a99e9adee0d918-p_e.jpg
"$619,000","110 E 8th Rd, Broad Channel, NY 11693",2,2,"1,200",https://photos.zillowstatic.com/fp/34b22bf2a4c16c13e523879a9152a249-p_e.jpg
"$327,000","149-05 79th Ave APT 221, Flushing, NY 11367",2,1,"1,000",https://photos.zillowstatic.com/fp/12688d865a05723f214deaf88b1fd876-p_e.jpg
"$1,499,000","217-07 38th Ave, Bayside, NY 11361",4,4,"2,100",https://photos.zillowstatic.com/fp/6492708ba5d8069450675e6ae234e878-p_e.jpg
"$631,000","411 Mosely Ave, Staten Island, NY 10312",3,2,"1,578",https://photos.zillowstatic.com/fp/cd763c32d66e413693c6a5afa0d62e72-p_e.jpg
"$612,000","1215 Broadway APT 506, Astoria, NY 11106",1,1,680,https://photos.zillowstatic.com/fp/1670f429d380b81ea2a0e86b1322f438-p_e.jpg
"$225,000","192-07 37th Ave #199, Flushing, NY 11358",1,1,--,https://photos.zillowstatic.com/fp/0df1a85e9399b9a5a16bb53558a0c631-p_e.jpg
"$669,000","1713 E 35th St, Brooklyn, NY 11234",3,2,"1,200",https://photos.zillowstatic.com/fp/b31570eb206e28e7581edb08ee489cc3-p_e.jpg
"$378,000","15040 71st Ave APT 2K, Flushing, NY 11367",2,1,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$390,000","811 Church Rd, Broad Channel, NY 11693",3,1,850,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$599,000","115-53 200th St, Saint Albans, NY 11412",3,2,"1,300","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,799,000","309 Caton Ave, Brooklyn, NY 11218",4,2,"2,300","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,280,000","10827 42nd Ave, Flushing, NY 11368",3,3,"2,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,200,000","107 W 86th St #4A, New York, NY 10024",2,2,"1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,595,000","68 Sullivan St, Brooklyn, NY 11231",1,1,904,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$600,000","3 Reno Ave, Staten Island, NY 10306",3,2,"2,080","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$460,000","3395 Nostrand Ave APT 5B, Brooklyn, NY 11229",2,2,"1,300","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$729,999","16316 71st Ave #2, Fresh Meadows, NY 11365",3,2,"1,232",N/A
"$720,000","1065 Sheldon Ave, Staten Island, NY 10309",3,3,"2,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$2,195,000","96 4th Pl #4, Brooklyn, NY 11231",3,2,"1,349","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,279,000","331 Detroit Ave, Staten Island, NY 10312",6,4,"4,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$879,000","702 Glenmore Ave, Brooklyn, NY 11208",6,3,"2,308","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$2,500,000","732 W End Ave APT 3, New York, NY 10025",3,3,"1,777","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$350,000","19033 117th Rd, Jamaica, NY 11412",4,2,"1,616","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$300,000","350 Richmond Ter APT 3V, Staten Island, NY 10301",2,2,"1,086","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$595,000","82 Pendleton Hill Rd, Voluntown, CT 06384",4,2,"1,550",N/A
"$1,550,000","736 Bergen St, Brooklyn, NY 11238",4,2,"2,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$899,999","11 Fairview Pl, Brooklyn, NY 11226",4,3,"2,122","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$945,000","5107 64th St, Flushing, NY 11377",3,3,"1,665","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
