price,address,bds,ba,sqft,image
"$210,000","8385 Woodhaven Blvd APT 1B, Woodhaven, NY 11421",1,1,584,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$325,000","7719 141st St APT A, Flushing, NY 11367",2,1,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$709,000","1924 Kimball St, Brooklyn, NY 11234",3,3,"1,100","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$588,000","8816 78th St, Jamaica, NY 11421",3,2,"1,208","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$3,900,000","558 4th St, Brooklyn, NY 11215",5,3,"2,619","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$160,000","17 Sunnymeade Vlg, Staten Island, NY 10305","2,132",N/A,N/A,N/A
"$689,000","22 Rome Ave, Staten Island, NY 10304",3,3,"1,350","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$2,750,000","1435 Lexington Ave APT 11E, New York, NY 10128",3,3,"116,270",N/A
"$1,538,000","33-51 157th St, Flushing, NY 11354",4,3,"2,750","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$599,000","562 Hendrix St, Brooklyn, NY 11207",5,3,"1,134","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
